Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
LVS,Las Vegas Sands Corp.,39.01,31048413289,n/a,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs
LHO,LaSalle Hotel Properties,23.48,2651576653,n/a,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho
LHOH,LaSalle Hotel Properties,25.2,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lhoh
LHOI,LaSalle Hotel Properties,25.05,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lhoi
LFL,LATAM Airlines Group S.A.,5.19,2831393181,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/lfl
LDF,"Latin American Discovery Fund, Inc. (The)",6.86,46837980.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf
LGI,Lazard Global Total Return and Income Fund,11.96,114878634.5,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/lgi
LAZ,Lazard Ltd.,37.48,4703193279,n/a,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz
LOR,"Lazard World Dividend & Income Fund, Inc.",8.4,57793537.2,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lor
LZB,La-Z-Boy Incorporated,22.52,1130335821,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/lzb
LF,Leapfrog Enterprises Inc,0.68,48258611.96,n/a,2002,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/lf
LEA,Lear Corporation,107.14,8067891315,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea
LEE,"Lee Enterprises, Incorporated",1.67,91264454.58,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/lee
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,11.29,237956552.7,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/bwg
LM,"Legg Mason, Inc.",35.3,3802822051,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm
LEG,"Leggett & Platt, Incorporated",40.41,5499627601,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/leg
CVB,Lehman ABS Corporation,10.5176,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cvb
JBK,Lehman ABS Corporation,24.99,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/jbk
